ID,day,month,year,hour,minute,second,latitude,longitude,depth,mw,mw_err,mc,cluster_id
300,12,7,1886,0,45,0,38,-1.1333,0,3.5635,0.249,4.75,0
301,28,11,1886,21,30,0,38.4333,-0.8333,0,4.381,0.294,4.75,0
302,30,12,1886,19,20,0,36.5,-2.75,0,4.381,0.294,4.75,0
303,16,8,1887,20,35,0,38.6167,-1.1167,0,4.1085,0.279,4.75,0
304,6,10,1888,22,30,0,37.8833,-0.95,0,4.381,0.294,4.75,0
305,18,12,1888,20,28,0,38.75,-0.4333,0,3.836,0.264,4.75,0
306,7,6,1889,6,15,0,38.25,-2.8833,0,4.6535,0.309,4.75,0
307,30,12,1889,10,20,0,37.9833,-0.6833,0,3.836,0.264,4.75,0
308,25,1,1890,13,15,0,37.6833,-1.7,0,3.836,0.264,4.75,0
309,22,2,1890,19,0,0,37.9833,-0.6833,0,4.1085,0.279,4.75,0
310,18,8,1890,0,0,0,37.9833,-0.6833,0,3.836,0.264,4.75,0
311,27,8,1890,8,45,0,37.9833,-0.6833,0,3.836,0.264,4.75,0
312,13,10,1890,2,0,0,38.7,-0.4667,0,3.836,0.264,4.75,0
313,11,8,1891,4,0,0,37.2,-1.9,0,4.6535,0.309,4.75,0
314,30,5,1892,14,15,0,37.9833,-0.6833,0,4.381,0.294,4.75,0
315,18,7,1892,0,0,0,36.85,-2.95,0,3.5635,0.249,4.75,0
316,20,7,1892,10,0,0,37.9833,-0.6833,0,3.836,0.264,4.75,0
317,1,8,1892,14,30,0,36.85,-2.95,0,4.1085,0.279,4.75,0
318,21,5,1893,9,30,0,37.3,-1.8833,0,4.1085,0.279,4.75,0
319,2,9,1893,19,35,0,38.7,-0.4667,0,4.1085,0.279,4.75,0
320,11,6,1894,3,30,0,37.1167,-2.6667,0,5.471,0.354,4.75,0
321,18,6,1894,3,55,0,37.4,-1.95,0,4.1085,0.279,4.75,0
322,1,9,1894,4,30,0,37.4,-1.95,0,4.1085,0.279,4.75,0
323,13,5,1895,2,30,0,37,-1.9,0,5.1985,0.339,4.75,0
324,15,5,1896,8,45,0,38,-1.2,0,3.291,0.234,4.75,0
325,16,7,1896,11,45,0,38.6167,-1.1167,0,3.836,0.264,4.75,37
326,17,7,1896,23,30,0,38.6167,-1.1167,0,4.6535,0.309,4.75,37
327,18,7,1896,0,30,0,38.6167,-1.1167,0,3.836,0.264,4.75,37
328,1,3,1897,0,0,0,37.75,-2.55,0,4.6535,0.309,4.75,0
329,26,9,1898,5,30,0,38.1833,-1.1167,0,3.836,0.264,4.75,0
330,23,2,1899,21,30,0,38.5,-1.6333,0,3.836,0.264,4.75,0
331,9,3,1900,4,20,0,37.6,-1.3167,0,3.836,0.264,4.75,0
